clase;medio;texto_limpio
Ocupació immobles;La Vanguardia;desalojan caravanas instaladas dosrius venian rave local dosrius barcelona desalojado caravanas personas venian rave llinars valles barcelona empezo nochevieja desmantelada sabado terminar fiesta llinars caravanas instalaron zona pou glac canyamars informado ayuntamiento dosrius tuit recogido europa press
Organitzacions i grups criminals;El Periódico;detingut mafios italia amagat barcelona octubre especialista ensuccessos tribunals assumptes policials cossos emergencies
Lesions;El Periódico;investiguen cruel agressio grupal menor barcelona especialista ensuccessos tribunals assumptes policials cossos emergencies
Homicidi Consumat;Ara;investiguen mort dona trobada jardi casa lloret mar lloret marels investiguen mort dona anys trobada jardi casa lloret mar dimarts matinada segons fonts proximes investigacio dona sigut agredida parella home anys dilluns tarda cap nou vespre patrulla local localitzar caminant carrer tenia cop ull esquerre simptomes consumit alcohol dependencies policials dona dir volia denunciar home marxar comissaria dues hores mes tard saltar alarma domicili patrulla adrecar localitzar jardi vida segons fonts dona efectes alcohol dir tenia claus casa podia entrar rebutjar qualsevol tipus assistencia donar manta protegir fred
Homicidi Consumat;El Periódico;mor home apunyalat trinitat vella dilluns homeapunyalatdilluns atrinitat vellaha mort passada nit hospital vall hebron mantenia ingressat despres rebre dues ganivetades mort espanyol anys converteix assassinat barcelona
Estafes;La Vanguardia;alertan ola intentos estafa vacunas residencias alertado ola centenar intentos estafa residencias ancianos consumado pago euros insta abonar urgencia cantidad dinero recibirlas vacunas coronavirus advertido rueda prensa telematica conseller interior miquel samper comisario joan carles molinero precisado consta denuncia estafa consumada
Danys;La Vanguardia;detienen autor homicidio ano catalunya grupo homicidios barcelona detuvo miercoles presunto autor punaladas lunes acabaron vida vecino trinitat anos crimen inaugura lista homicidios ano catalunya cerro asesinatos lunes discusion hombres plena calle finestrelles distrito sant andreu conocida victima testigo agresion conto investigadores victima discutio jovenes apunalo pecho herido trasladado hospital vall hebron murio
Homicidi per imprudència;La Vanguardia;empresa salou denunciada muerte camionero tarragona denunciaron diciembre responsables empresa obras servicios salou tarragona muerte trabajador supuestamente causa neumaticos desgastados camion presunto delito homicidio imprudencia grave comunicado hechos ocurrieron julio conductor camion articulado circulaba autovia perdio control vehiculo cruzo tercer carril autovia choco mediana hormigon conjunto articulado ningun control reboto valla volvio chocar mediana hormigon rompiendo panel informativo produjo muerte conductor
Robatori amb força;La Vanguardia;prision detenidos robar casa residentes dormian comisaria mataro detuvieron enero hombres anos nacionalidad marroqui vecinos badalona presuntos autores delito robo fuerza domicilio estafa tarjetas bancarias robaron domicilio residentes dormian escalando fachada hechos madrugada diciembre casa cami ral localidad mataro residentes dormian hombres accedieron domicilio trepando fachada piso forzaron puerta corredera balcon robaron efectos personales calzado dinero tarjetas credito objetos
Estafes;La Vanguardia;piden anos prision hombre acusado estafar euros pareja lleida fiscalia pide anos meses prision hombre acusado estafar euros pareja lleida ministerio publico hombre habria enganado mujer firmar nombre facturas falsas anos quedarse iva juicio tendra enero audiencia lleida hombre acusado delito estafa continuada falsedad documental fiscalia solicita condene hombre pagar multa euros delitos indemnizar victima importes visto obligada pagar agencia tributaria
Altres delictes contra l'ordre públic;La Vanguardia;interviene fiestas ilegales catalunya mala situacion epidemiologica vive catalunya ultimos intervenir fiestas cumplian restricciones coronavirus podido rac noche autonomica intervenido fiestas ilegales casa lloses ripolles agentes denunciado jovenes incumplian medidas seguridad covid aparte saltarse prohibicion reunirse personas participantes habrian incumplido confinamiento municipal
Homicidi Consumat;Ara;detingut home mort mare badia valles barcelonaels detingut mati home acusat mort dona cadaver trobat signes violencia casa badia valles valles occidental segons avancat cadena detingut anys fill victima tambe informat home trastorn psiquic segons sembla rebut avis veina victima passat casa interessar ates sentit cap soroll pis mati
Agressions sexuals i Abusos sexuals;El Periódico;detingut agredir sexualment cinc dones barcelona especialista ensuccessos tribunals assumptes policials cossos emergencies
Robatori amb força;La Vanguardia;vecinos sant joan abadesses retienen hombre robado bar detuvieron enero hombre presuntamente robar fuerza bar sant joan abadesses girona hechos sucedieron noche martes patrullando poblacion ripoll girona conocimiento personas habian retenido hombre entrado robar establecimiento localidad sant joan abadesses girona
Danys;El Periódico;pedrades sucursals bancs endesa tecnocasa barcelona especialista ensuccessos tribunals assumptes policials cossos emergencies
Agressions sexuals i Abusos sexuals;El Periódico;preso repartidor agredir sexualment cinc dones barcelona especialista ensuccessos tribunals assumptes policials cossos emergencies
Faltes contra els interessos generals;La Vanguardia;delitos electorales quedan archivados vecino badalona alan roman anos salio leroy merlin miercoles noche acosto exhausto recibido citacion designaba presidente suplente mesa electoral elecciones parlament primeras quedo dormido presente nueve media manana casa llegaria multa recuerda realidad llego multa citacion judicial compareciera calidad imputado delito electoral declaro quedado dormido audiencia barcelona reconocio hechos acordo fiscal condena euros multa conllevo expediente constasen antecedentes penales anos
Danys;El Periódico;detingut conduir ebri direccio prohibida home positiu provad alcoholemiai conduiacontra direccioha sigut detingut abarcelonadespres espectacular persecucio vintena vehicles laguardia urbanai elsmossos arribar xocar cotxe catalana
Lesions;La Vanguardia;atropello multiple reus deja heridos grave personas resultado heridas sabado atropello multiple reus tarragona conductora perdido control vehiculo accedido zona peatones plaza nen oques empotrarse fachada sem confirmado balance siniestro personas graves grave leves
Lesions;Ara;investiguen cacador ferir tret ciclista imprudencia greu barcelonaels investiguen cacador dissabte ferir tret jove ciclista circulava cami forestal massanes comarca selva presumpte autor delicte lesions imprudencia greu agents rurals afegit causa responsable terreny segons confirmen cossos fets passar cap hores dissabte area privada caca situada collet mascle prop turo dropols batuda senglars investigat home anys vei municipi disparar direccio cami proper bala impactar quadriceps jove anys passava bici pista forestal apta circulacio vehicles motor
Homicidi Consumat;La Vanguardia;detenida apunalar mortalmente pareja viladecans detenido mujer anos presuntamente asesinar pareja viladecans informado lunes tribunal superior justicia catalunya tsjc constan antecedentes judiciales pareja local ciudad llobregat alertada domingo noche fuerte discusion piso calle carles altes barrio montserratina llegar hechos nueve hallaron cuerpo hombre vida herida arma blanca pecho punalada corazon acabo fulminante
Homicidi per imprudència;La Vanguardia;muere mujer anos atropellada moto granollers mujer anos vecina granollers barcelona muerto lunes hospital vall hebron atropellada motocicleta cilindrada interseccion calles ramon llull ponent ciudad siniestro produjo victima cruzaba calle recibio impacto moto motorista peatona resultaron heridos informado ayuntamiento granollers comunicado
Contra la salut pública;La Vanguardia;desmantelan cultivos mil plantas marihuana chalets lloret mar nacional desmantelo enero cultivos indoor marihuana impidio puesta funcionamiento tercero girona detuvieron personas comunicado cuerpo miercoles investigaciones comenzaron noviembre agentes recibieron informaciones anonimas ciudadanos viviendas urbanizacion serra brava lloret mar girona podian llevandose cabo actividades sospechosas relacionadas narcotrafico
Agressions sexuals i Abusos sexuals;El Periódico;detingut home presumptes abusos sexuals menor ascensor home sigut detingut divendres presumptesabusos sexuals unamenor edat dinsd ascensor barcelona segons informat guardia urbana practicat detencio fets tingut lloc via cap cinc tarda
Danys;El Periódico;coctels molotov local matadepera especialista ensuccessos tribunals assumptes policials cossos emergencies
Receptació i altres conductes afins;El Periódico;detingut camioner telefons mobils portatils robats detingut uncamioner abrera barcelona acusat delicte receptacio despres sorprendre telefons mobils ordinadors portatils robatsa cabina vehicle
Agressions sexuals i Abusos sexuals;El Periódico;detingut presumptes abusos sexuals dues dones pis okupa reus laguardia urbanaha detingut divendres homeacusat abusar sexualment dedues donesque vivien pis okupa barri carme reus camp informa acn
Lesions;El Periódico;dona ferida barcelona protesta hasel perd ull especialista ensuccessos tribunals assumptes policials cossos emergencies
Robatori amb violència i/o intimidació;El Periódico;cau banda robar diamant milions barcelona especialista ensuccessos tribunals assumptes policials cossos emergencies
Lesions;Ara;cacador queda ferit greu tret company vansa fornols vansa fornols prullansun cacador resultat ferit greu dissabte mati rebre tret company terme municipal vansa fornols alt urgell tir segons fortuit impactat dues cames victima fets passat cap quarts onze mati lloc desplacat helicopter rescat bombers generalitat helicopter sistema emergencies mediques sem evacuat home hospital arnau vilanova lleida accident tambe treballat ambulancia sem agents catalana obert investigacio esclarir fets segons cacador resultat ferit greu tem vida ambit successos incendi vegetacio cremat dissabte hectarees prullans cerdanya segons informat bombers generalitat
Estafes;La Vanguardia;detenida mujer estafar euros girones detenido mujer anos nacionalidad rumana vecina girona estafar euros febrero inmobiliarias comunicaron mujer presentaba agencias interesada alquiler piso aportaba nominas falsas firmaba contrato pagaba mensualidades suministros llamaban pedir abonara dinero detenida presentaba comprobantes falsificados realquilaba habitaciones conocidos pedia dinero adelantado estafadora robo euros entidad girones aprovechando titular bancaria comision fiestas mujer transferencias simulando pagaba facturas empresas
Homicidi Consumat;Ara;preso presumpte autor doble homicidi parella edat avancada barcelona estiu barcelonaels detingut home anys sant antoni vilamajor valles oriental presumpte autor deldoble homicidi parella edat avancada casa districte sants montjuic barcelona agost divisio investigacio criminal dic obrir investigacio permetre determinar havien mort violenta detingut implicat despres tingut relacions comercials victimes dies mort febrer detenir home escorcollar domicili cop passat disposicio judicial jutge ordenat ingres preso provisional arrestat avis permetre trobar cossos veins matrimoni vivien pis situat carrer mossen amadeu oller denunciar feia dies sentien forta pudor escala podia procedir interior domicili matrimoni tenien noticies ultims dies agents guardia urbana desplacar immoble comprovar pudor sentia escala procedia interior immoble cop arribar fill parella ell obrir porta clau trobar parella morta indicis criminalitat dies havien mort
Robatori amb violència i/o intimidació;El Periódico;detingut pillatge comercos manifestacio pablo hasel vilanova geltru persona sigut arrestada nit dimecres participacio actes depillatge comercosdespres manifestacio vilanova geltru barcelona perl empresonament raper pablo hasel segons informat reporta europa press
Falsedats documentals;La Vanguardia;detenidos agencia viajes falsas pcr negativas detenido personas expedientado cuarta falsificar pruebas negativas pcr treintena clientes hechos provincia barcelona acusados trabajadores agencia viajes santa coloma gramanet director agencia mataro detenido expedientado
Danys;El Periódico;preso fianca vuit detinguts disturbis dissabte barcelona jutjat instruccio barcelona acordatpreso provisional comunicada fiancaper vuitdetingutsque actuar grup organitzats disturbis dissabte passat barcelona segons informat tribunal superior justicia catalunya tsjc arrestats nomes contestat preguntes defensa
Estafes;Ara;cau grup criminal estafava enviant milers sms enllacos fraudulents barcelonahavien enviat sms unlinkque realitat enllac trampa derivava web suplantaven entitats bancaries operadors mobils obtenir claus contrasenyes victimes picaven cop tenien informacio duplicaven targeta sim linia mobil victima accedir codis validacio bancs evitar victima adones frau desarticulat grup criminal darrere estafa anomenadasmishing detencio quatre persones anys atribueix delicte estafa pertinenca grup criminal investigacio segueix oberta comencar octubre passat denuncia ciutada permes concloure integrants grup usurpaven identitat entitats bancaries companyies assegurances empreses paqueteria correus empreses telefonia enviaven massivament milers sms usuaris telefonia mobil ls advertia claus contrasenyes cancel larien accedien enllac ls adjuntava traves missatges sms
Lesions;La Vanguardia;agreden vigilante seguridad renfe estacion sagrera vigilante seguridad renfe agredido domingo estacion sagrera barcelona victima golpeada jovenes companeras seguridad reprendio agresores incidente fuentes cercanas victima origino pasajeros provocaron discusion trataran colarse pagar billete hechos noche domingo llegada ultimos trenes estacion barcelonesa fuentes pasajeros presentaban signos embriaguez reaccionaron violentamente vigilante llamara atencion conducta
Amenaces;La Vanguardia;hombre trastorno mental entra comisaria vic armas falsas nan
Estafes;La Vanguardia;detenido falso mecanico estafo mil euros anciano igualada detuvieron marzo igualada hombre anos vecino barcelona estafar presuntamente abuelo anos hechos ocurrieron febrero mediodia victima conducia vehiculo igualada persona indicaciones parara asegurando coche tenia averia inicialmente paro personas insistieron
Suposició de part / substitució de nen;La Vanguardia;xavier bosch hagut nadons robats tambe democracia xavier bosch barcelona pogut resistir vessant periodistic nova novel dona vida columna destino torna combinar histories familiars parella intimistes cas acosta histories mes vergonyoses espanya nadons robats autor deixat enrere personatge periodista dani santana ocasio passara familia explica feia programaagora tv dedicar quatre programes casos nadons robats testimonis esfereidors neix llibre sorgeix doble sentiment amor fraternal rabia noticies mes amagades historia catalunya espanya
Desobediència i denegació d'auxili;El Periódico;ts jutja avui diputat erc nuet desobediencia proces tribunal suprem arrenca dimecres nou capitol proces eljudici diputat joan josep nuet pujals erc presumptedelicte desobedienciaper actuacio amembre mesa parlament catalunya fiscalia acusa devotar favor tramitacio diverses iniciatives parlamentaries contraries ordre constitucional setembre advertencies tribunal constitucional demana condemni pena mesos inhabilitacio carrec public electei multa euros aixo implica cas condemnat succeit resta processats mesa parlament legislatura haurade deixar esco congres
Homicidi Temptativa;Ara;demanen anys preso home apunyalar discussio puigcerda puigcerdal audiencia girona comencat jutjar acusat afronta anys preso apunyalar jove coll discussio transit puigcerda fets lloc matinada novembre segons fiscalia acusacio particular processat formava part grup persones ocupava calcada victima anava cotxe passar moment acusat colpejar vehicle ocupants baixar comencar discussio acusacions apunten batussa processat treure navalla punxar roda amenacar victima assestar punyalada acusen intent homicidi abus superioritat danys amenaces processat banda nega
Contra la salut pública;Ara;mort cachou caure xarxa trafic droga vall aran barcelonala investigacio oberta abril passat determinarqui enverinar matar anticongelant cachoua vall aran tingut derivada sorprenent escoltes telefoniques fet cas descobrir moviment sospitos cocaina segons explicatla vanguardia acabat desarticulacio grup criminal fet dotze detencions castello lleida viella confiscat quilos cocaina desarticulat laboratori elaboracio drogues lleida presumptament transformaven pasta cocaina importada colombia droga preparada consum detinguts alcalde pedania casau juan berdie dissabte posat llibertat provisional jutge dictat preso provisional eludible fianca euros arrestats preso comunicada fianca quatre mes llibertat retirada passaport prohibicio sortir territori set causa oberta delicte salut publica organitzacio criminal blanqueig capitals
Lesions;El Periódico;detingut conductor ebri ferir greument barcelona motorista fugir detenir diumenge passat marc home anys conduint efectes alcohol vaferir greument motorista accident transita carretera vilanova geltru barcelona fugir lloc
Assassinat Consumat;Ara;detenen noia anys mare matat nado tarragona detingut tarragona dijous dues dones anys nacionalitat espanyola presumptament matat nado noia segons breu comunicat investigacio iniciar desembre agents rebre avis informant dona tingut nado cap marc dir comencava confinament mare haurien matat haurien desfet cos
Homicidi Consumat;Ara;mor ganivetada despres entrar robar casa rubi plantacio marihuana barcelonaun home morir ahir nit rubi ganivetada entrar robar casa mig construir presumpta victima robatori apunyalar segons informat agents trobar plantacio marihuana lloc fets detingut habitant casa implicacio mort tambe delicte salut publica rebre avis mitjanit persona ferida presumpta comissio robatori violent casa rubi zona urbanitzacio sant muc tractava barraca mig construir baixos plantes marihuana segons comprovar agents intervencio servei emergencies mediques salvar vida ferit investigacio fets continua oberta
Assassinat Consumat;Ara;troben cadaver signes violencia maleter cotxe roses barcelonala divisio investigacio criminal oberta investigacio despres localitzar ahir cap nit cos vida home tancat maleter cotxe roses alt emporda cos presentava senyals criminalitat segons informat comunicat rebre trucada alertant troballa cadaver cop lloc fets carrer bernat metge confirmar signes criminalitat cas segons cadena germa victima amic avisar alertar feia quatre dies sabien res agents divisio investigacio criminal regio policial girona fet carrec investigacio aclarir circumstancies mort
Contra la salut pública;La Vanguardia;registros operacion policial trafico marihuana catalunya nacional coordinado esfuerzos frente narcotrafico operacion conjunta desarrolla localidades catalunya asturias manana miercoles agentes divisio investigacio criminal catalana nacional llevando cabo registros grueso catalunya objetivo desarticular presunta organizacion criminal origen chino supuestamente dedica trafico internacional marihuana blanqueo dinero informan cuerpos policiales
Homicidi Consumat;La Vanguardia;encuentran cadaver mujer signos violencia manresa encontrado miercoles cadaver mujer signos evidentes muerte violenta piso manresa barcelona informado fuentes policiales catalana recibido aviso personarse domicilio constatado hallazgo cuerpo vida
Contra la salut pública;La Vanguardia;guardia civil desarticulan red trafico marihuana barcelona nacional guardia civil llevando cabo operacion conjunta desarticular red dedicada trafico marihuana distintas poblaciones barcelona informado operacion iniciado manana agentes cuerpos seguridad empezado entradas registros localidades entorno metropolitano capital catalana
Organitzacions i grups criminals;La Vanguardia;industria china marihuana cifras ayudan hacerse idea dimensiones importancia dela organizacion criminal origen chino desarticuladadurante operacion conjunta nacional tutelada juzgado badalona fases investigadores detuvieron personas ingresaron prision registraron viviendas locales incautaron euros plantas marihuana repartidas plantaciones distintas vincular numero plantaciones organizacion criminal exitos investigacion inspector toni salleras inspector jefe juan pablo iglesias responsables crimen organizado nacional detallado martes importancia caso logrado aseguran desarticular completamente familias asociadas causa
Contra la salut pública;La Vanguardia;desarticulada red trafico internacional marihuana catalunya organizacion criminal dedicada trafico internacional marihuana operaba taller mecanico localidad barcelonesa sant andreu barca desarticulada detencion quince personas nacionalidades incautacion kilos marihuana hachis operacion conjunta guardia civil nacional denominada delos agentes constataron organizacion cultivaba marihuana espana posteriormente distribuia francia alemania polonia
Agressions sexuals i Abusos sexuals;El Periódico;detingut home violar jove anys reus elsmossos esquadrahan detingut jove anys presumptament violar noia domicili detingut reus camp abril mentrese celebrava festa restriccions vigor causa covid
Estafes;La Vanguardia;detenidos reus estafa clientes entidad bancaria estafa bancaria mayuscula precedentes catalunya modus operandi destacan clientes entidad financiera repartidos espana visto agosto volaba arte magia dinero punto sacar cajero automatico traves telefono movil compleja investigacion logrado detener presuntos autores estafa euros juez decretado ingreso prision principales responsables empleado empresa informatica externa daba servicio entidad bancaria tenia acceso codigos secretos
Incendi;El Periódico;mort incendi hospitalet unvei hospitalet llobregat barcleones morten incendi carrer sant antoni localitat elsbombers generalitathan mobilitzat vuit dotacions despres rebre avis flames comencat treballar sufocar foc desenvolupat afectava quatre estudis allotjats planta edifici
Agressions sexuals i Abusos sexuals;El Periódico;sis detinguts agressio sexual barcelona especialista ensuccessos tribunals assumptes policials cossos emergencies
Estafes;Ara;lleidatana perd euros estafa fals militar enamorat barcelonacontacta ataca remata nom amor procediment habitual estafa coneguda delfals militaro elfals enamoratvirtual detectar comarques ponent cap setmana passat cas remunta setmanes dona rep accepta sol licitud amistat xarxes socials desconegut diu exercit estats units destinat missio humanitaria afganistan suposat militar tambe diu nacionalitat espanyola missatges parella comparteix explica plantejant deixar carrera trobar iniciar relacio pagar indemnitzacio relacio xarxes missatgeria instantania whatsapp mai mantenen cap contacte telefonic questio guanyar confianca dona accedeix demandes economiques fent transferencies suposat compte bancari onu pagament euros hipotetics tramits inicials seguint quantitats mes considerables majoria euros arribar desemborsar euros informen comunicat
Estafes;El Periódico;detinguts estafar avi discapacitat elsmossos detenir dimecrespassat barcelonados homes anysperpresumptament estafar continuadaun home anys discapacitat fisica psicologica
Homicidi Consumat;El Periódico;trobat cadaver maleter cotxe lleida cos persona sigut trobat dilluns tarda maleter cotxe aparcat area servei ll accessos lleida prop hotel comtes urgell
Agressions sexuals i Abusos sexuals;El Periódico;detingut barcelona exhibicionista abusador sexual serie menors especialista ensuccessos tribunals assumptes policials cossos emergencies
Estafes;El Periódico;regne unit torna milions estafats fals broker girona especialista ensuccessos tribunals assumptes policials cossos emergencies
Agressions sexuals i Abusos sexuals;El Periódico;jutge envia preso exhibicionista abusador serie barcelona especialista ensuccessos tribunals assumptes policials cossos emergencies
Falsedats documentals;El Periódico;vuit detinguts trama carnets conduir falsos preso jutge instruccio numero girona decretat nitpreso provisionalcomunicada fianca principals acusats latrama defalsificaciode prop permisos conduira espanya cobraven euros desmantellada setmana segons informat tribunal superior justicia catalunya xarxes socials vuit empresonats figuren causa delictes falsedat suborn blanqueig pertinenca grup criminal
Estafes;El Periódico;fugitiu italia arruinar familia barcelona especialista ensuccessos tribunals assumptes policials cossos emergencies
Assassinat Consumat;El Periódico;crims masclistes catalunya especialista ensuccessos tribunals assumptes policials cossos emergencies
Lesions;El Periódico;sis policies ferits mirar dissoldre tangana bar barcelona especialista ensuccessos tribunals assumptes policials cossos emergencies
Contra la salut pública;La Vanguardia;macrooperacion trafico drogas lleida balaguer detenidos guardia civil desplegado hora manana macro operativo desarticular banda criminal dedicada trafico drogas tendria montado centro operaciones lleida balaguer fuentes cercanas operacion policial informan dispositivo alargar minimo manana informan arrestado quincena personas ambas ciudades
Agressions sexuals i Abusos sexuals;El Periódico;detingut enviar videos abusos sexuals nenes feina barcelona casat filla treballador vetera irreprotxable tambe disfrutava videos pornografia infantil especialment abusos sexuals nenes perque dona descobris informatic catala nomes buscava enviava imatgesdes lloc treball multinacional escandinava instal lada rubi barcelona sigut detingut enl operacio escania lusio ciutat sueca
Estafes;El Periódico;arrestat nou estafador arruinar dona discapacitada barcelona especialista ensuccessos tribunals assumptes policials cossos emergencies
Lesions;El Periódico;busquen autors brutal agressio homofoba somorrostro dissabte nit atacs mes persones homosexuals moment desistit denunciar
Homicidi Consumat;El Periódico;investiguen homicidi nena anys sant joan despi especialista ensuccessos tribunals assumptes policials cossos emergencies
Lesions;El Periódico;investiguen dona sant andreu mutilar genitals cap defensa especialista ensuccessos tribunals assumptes policials cossos emergencies
Assassinat Consumat;Ara;investiguen dona matar filla quatre anys sant joan despi barcelonaels investiguen dona matar filla quatre anys sant joan despi hipotesi mare causar mort nena pastilles despres suicidar metode dona ingressada hospital moises broggi greu custodia perque formalment detingut presumpta autora crim pare nena separat mare buscar dilluns tarda escola centre dir anat classe contactar dona alertar familia cap quarts set tarda pis sant joan despi vivien mare filla entrar domicili trobar nena morta dona inconscient avisar
Assassinat Consumat;Ara;crim masclista porqueres entrega despres matar parella vols rebre tambe notificacions mobil barcelona porquerescrim masclista porqueres pla estany vora banyoles home presentar ahir cap deu nit comissaria banyoles confessar matat parella alla anys originaria letonia localitzar cos victima senyals violencia casa porqueres efectius sistema emergencies mediques sem certificar mort home nacionalitat espanyola anys quedat detingut acusat crim
Lesions;Ara;preso provisional dona tallar penis amo bar treballava barcelonala dona dillunsva tallar penis amo bar treballava sant andreu barca ingressara preso provisional fianca segons informat tribunal superior justicia catalunya tsjc dona declarar actuar defensa repel lir agressio sexual home vegada intentava abusar despres examinar investigacio cas fet magistrada avalat versio segons pogut acn discrepancies consideracio versio acusada indicis proves recollits quadren testimonis explicat dona home presentaven matrimoni fets lloc cap dues matinada dimarts home presentar comissaria local sant andreu barca ferides gravetat zona genital intervingut hospital bellvitge segueix ingressat despres dona tambe presentar local explicar home volia agredir sexualment tallat penis defensar detenir delicte lesions home ingressar hospital preveia detenir perque respongues autoritats delicte agressio sexual
Agressions sexuals i Abusos sexuals;La Vanguardia;detenido agresion sexual chica anos playa somorrostro guardia urbana barcelona detenido madrugada jueves viernes hombre anos agresion sexual chica playa somorrostro barcelona adelantado catalunya confirmado fuentes municipales agencia acn fuentes explicado hombre tocamientos partes intimas chica anos consentimiento
Robatori amb violència i/o intimidació;El Periódico;detingudes persones pillatge barcelona disturbis hasel especialista ensuccessos tribunals assumptes policials cossos emergencies
Lesions;Ara;busquen autor tret ferir ahir home eixample barcelona barcelonaels busquen autor tret ahir ferir gravetat home anys prop sagrada familia segons informacio avancar cadena confirmat fonts cos rebre avis cap hores dissabte fets haurien tingut lloc terrassa avinguda gaudi zona bars restaurants hora dissabte forca gent fonts oficials detallen punt exacte atac treballadors restaurant avinguda gaudi confirmat terrassa numero actuar home segons primeres informacions atacant hauria aproximat victima hauria disparat pit home ferit traslladat hospital sant pau mes proxim zona fets busquen agressor fugir corrents
Contra la salut pública;La Vanguardia;dispositivo policial organizacion dedicada trafico cocaina marihuana desplegado dispositivo hora martes organizacion dedicada trafico cocaina marihuana operacion cobrado detenidos manana entradas barcelona area metropolitana girona
Robatori amb violència i/o intimidació;La Vanguardia;vuelta andadas barcelona ladrones relojes lujo delinquen capital catalunya barcelona alerta regreso actores nocivos paisaje urbano ciudad delincuentes concreto ladrones especializados robos relojes lujo irrumpido fuerza forcejeando munecas unico ultimas ayuntamiento santpedor barcelona informado traves comunicado madrugada sabado produjo agresion sexual festa major localidad bages lleida ultima hora escape amoniaco obligado activar fase alerta plan emergencia exterior sector quimico catalunya plaseqcat proteccio civil seguimos pendientes menor anos critico caerse canal segarra garrigues paso tarrega informa diario segre
Contra la salut pública;La Vanguardia;catalunya ultimas noticias barcelona girona tarragona lleida ultimas catalunya sucesos marcado agenda desplegado dispositivo organizacion dedicada trafico cocaina marihuanaque saldado detenidos hombre anos suicido lunes comitiva judicial iba cumplir orden desahucio llamara timbre casa barrio sants barcelona preocupacion playas temporada verano preocupados agencia residus catalunya reclamado gobierno central presente proyectos permitan recuperar playas contaminadas comunitat busqueda playa perfecta barceloneses foraneos llevado huir comarca maresme interesante capital catalana permite huir agobio accesibles perfectas disfrute
Incendi;La Vanguardia;catalunya ultima hora barcelona girona tarragona lleida evolucion incendios tarragona favorable autoridades encontrado persona propiciado detenido sospechoso sintecho anos llevaba bolsa mecheros marcado agenda informativa maresme centro universitario tecnocampus mataro dependiente upf despedido profesor asociado grado medios audiovisuales denuncia presunto acoso sexual
Estafes;La Vanguardia;detenidas personas fundacion estafar millon euros ninos cancer detenido miembros fundacion embolsarse dinero habian recaudado ayudar ninos cancer informado cuerpo autonomica catalunya fundacion cibi sede social hospitalet inicio investigacion remonta fundaciones dedicadas cancer infantil alertan funcionamiento anomalo
Contra la salut pública;El Periódico;destapen alianca clans narcos mes potents catalunya esquadrahan detingut membres clans familiars mes potents catalunya acusats traficar cocaina marihuana armes lazona franca barcelona barri mina sant adria besos barcelona ultima fase cop bandes
Lesions;La Vanguardia;diez personas paliza hombre agresion homofoba barcelona investigan agresion homofoba domingo barcelona victima hombre anos mirador park guell grupo diez jovenes increparon propinaron punetazos condicion sexual victima malherida agresores robaron cartera heridas revistieron gravedad requirio hombre hospitalizado ataque madrugada popular parque barcelones convertido zona concurrida noches grupos jovenes victima denuncio hechos comisaria puesto marcha investigacion localizar agresores
Homicidi Temptativa;Ara;investiguen autoria incendi deixat dona nado ferits barcelonacontinua oberta investigacio aclarir autoria incendi habitatge deixat dona nado sis mesos ferits serveis emergencies rebut avis quarts dotze mati foc baixos domicili sant quirze valles flames causat cremades dona traslladada critic hospital vall hebron barcelona tambe portat nado centre menys greu hipotesi investigacio policial apuntava home parella dona pare nado possible autor foc segons avancat catalunya dona trobada lligada entrada sospitava home hauria pogut matar familia calant foc immoble mare nado descarta fos accio dona autolesionar cas res pensar sigui incendi accidental
Homicidi per imprudència;Ara;multa euros iqoxe explosio morir persones barcelonal empresa quimica iqoxe haura pagar multa euros explosio costar vida persones treballadors fabrica canonja vei tarragona ferir vuit mes inspeccio treball catalunya infraccio greu actuacio empresa derivar deflagracio mortal detecta diversos incompliments preventius seguretat salut laboral produccio substancia quimica mpeg feia instal lacions fets passar gener reactor explotar planta dedicada produccio oxid etile derivats etile propile inspeccio treball constata continues dilacions entrega documentacio requerida companyia aclarir fets acusa posar obstacles curs actuacions derivat finalment proposta sancio
Lesions;La Vanguardia;denuncian brutal agresion terrassa joven terrassa herido noche recibiera brutal paliza pelea grupos jovenes plenas fiestas mayores catalana abra investigacion hora domingo observatori homofobia denuncio agresion considerarla acto homofobico fuentes interior confirmado vanguardia motivo real agresiones
Lesions;Ara;arresten menor arrencat ulls treballador hotel cambrils barcelonal hotel dorado cambrils establiments mes populars costa daurada sigut escenari episodi dantesc nit hagut reduir arrestar menor anys atacat violencia treballadors establiment punt arrencar ulls victima anys hospital greu ferides cara agents local reduir agressor contundencia actualment custodia policial centre hospitalari barceloni agressio passar minuts despres mitjanit noi client hotel allotjava mare segons avancatla vanguardiai pogut confirmar redaccio hauria demanat ajuda personal establiment perque noi tenia brot psicotic conducta violenta treballador hotel anys respost peticio ajuda noi reaccionat atacant cops puny puntades peu agressor acarnissat zona cap cara acabat arrancant ulls
Lesions;El Periódico;menor arrenca ulls empleat hotel cambrils elsmossos esquadrahan detingut menor anysque presumptament agredit eltreballador hotel cambrils camp tarragona allotjat mare arrencat ulls
Tràfic d'éssers humans;El Periódico;alliberats esclaus catalunya aillats havien sentit parlar pandemia especialista ensuccessos tribunals assumptes policials cossos emergencies
