Título;Enlace;Fecha;Primeros_Párrafos
Diversos policies salven la vida a una jove que tenia una aturada cardíaca a Barcelona;https://www.elperiodico.cat/ca/barcelona/20231124/policies-salven-vida-jove-aturada-cardiaca-barcelona-95033536;24/11/2023;Agents de la Policia Nacional, els Mossos d’Esquadra i la Guàrdia Urbana de Barcelona hansalvat la vida a una jove de 21 anysque havia caigut a terra inconscient per unaaturada cardíaca a la plaça de Catalunya, a la capital catalana. Li van practicar maniobres cardiopulmonars i van utilitzar un desfibril·lador per reanimar-la.
Gordillo s’enfronta a un segon judici acusat d’agressió sexual;https://www.elperiodico.cat/ca/societat/20231123/gordillo-enfronta-segon-judici-acusat-95011279;23/11/2023;La jutge de Badalona María Antonia Raedo Santos ha finalitzat la investigació d’una segona denúncia contra l’exdirector de Catalunya Ràdio, Saül Gordillo,per la presumpta agressió sexual d’una redactora del diari digital ‘El Principal’, on tots dos treballaven, a l’interior del vehicle de l’imputat i en un descampat pròxim a Sant Adrià de Besòs. La magistrada ha donat un termini de 10 dies perquè la fiscalia i l’acusació particular presentin el seu escrit de qualificació. La mateixa nit que van passar els fets, l’1 de desembre del 2022, suposadament el periodista va fer tocaments per sota dels pantalons a una altra redactora en una discoteca de Barcelona on estaven celebrant el Nadal, un cas que ha sigut instruït en un jutjat de Barcelona i que també està pendent d’anar a judici.
A la presó una aspirant a mossa acusada de matar el seu company de pis a Ripollet;https://www.elperiodico.cat/ca/societat/20231123/prision-aspirant-mossa-assassinat-companero-pis-ripollet-94990477;23/11/2023;ElsMossos d’Esquadravan detenirel 13 de juliol unadona de 44 anys, que s’estavapreparantper poderaccedir al cos de la policia catalanai que ja va ingressar enpresó preventiva i sense fiança, acusada de matar el seu company de pis a Ripollet.
Robatori amb violència a la família d’Antonela Roccuzzo, la dona de Messi;https://www.elperiodico.cat/ca/esports/20231123/robatori-violencia-familia-antonela-roccuzzo-argentina-94983053;23/11/2023;Un grup d’assaltants van robar amb violència 21.500 dòlars a una cosina i dos empleats del supermercat de la família d’AntonelaRoccuzzo, dona deLeo Messi, a la ciutat argentina deRosario, 300 quilòmetres al nord de Buenos Aires, segons van informar fonts policials.
Matar Vidal-Quadras: els detalls d’un atemptat planejat durant mesos;https://www.elperiodico.cat/ca/successos/20231123/vidal-quadras-atemptat-planejat-setembre-94980178;23/11/2023;L’atemptat contraAleix Vidal-Quadrasva ser acuradament planificat durant mesosper un grup de persones. La investigació dela Policia Nacionalja té la primera dada objectiva dels passos que van fer els terroristes i els que els van ajudar. El mes de setembre, segons ha sabut CAS OBERT, van fer el primer pas a Espanya. Va ser llavors quanun jove paleta de Mijas(Màlaga) va comprar i va posar al seu nom la motocicleta amb què s’havia de cometre l’atemptat.
Cinc menors detinguts per la violació grupal d’una nena de 15 anys a Alacant;https://www.elperiodico.cat/ca/successos/20231122/cinc-detinguts-violacio-grupal-menor-94973028;22/11/2023;LaGuàrdia Civilha detingut aquesta setmana aDolores(Alacant) cinc jovesd’entre 15 i 17 anysacusats de laviolació grupala una menor de 15 anysquan es trobava en estat ebri, segons han confirmat a aquest diari fonts pròximes al cas. Els menors detinguts han passat aquest dimecres a disposició de la fiscalia a Alacant, on s’ha sol·licitatl’internament de tots ells en un centre en règim tancat. La mesura d’internament ha sigut acordada posteriorment pel Jutjat de Menors número 2 d’Alacant i els investigats han sigut traslladats a centres d’Alacant, València i Castelló.
El judici contra Pau Rigo no es repetirà: el TSJ de les Balears revoca la decisió de la jutge i li demana que dicti sentència;https://www.elperiodico.cat/ca/successos/20231122/judici-pau-rigo-repetira-tsj-94960829;22/11/2023;ElTribunal Superior de Justícia de les Balears (TSJIB)ha estimat el recurspresentat per la defensa de Pau Rigo,l’avi de Porreresqueva matar un lladre durant un assalt a casa seva,si bé serà la magistrada presidenta del Tribunal qui s’haurà de pronunciar, en sentència, sobre l’absolució que demana el seu advocat,Jaime Campaner.
Contingut pornogràfic, homòfob i masclista en dos xats amb menors a Sant Sebastià;https://www.elperiodico.cat/ca/successos/20231122/contingut-pornografic-homofob-masclista-xats-menors-sant-sebastia-94951092;22/11/2023;Contingut pornogràfic, homòfob, masclista i feixista es compartia en elsdos grups de WhatsApp amb més de mil menorsque investiga l’Ertzaintza aSant Sebastiàarran de la denúncia feta pública per l’escola Aldapeta María Ikastetxea, que estudia mesures col·lectives i recolzar els afectats.
La secció que va anul·lar l’ascens de Delgado l’apartarà de la fiscalia de Memòria, per Ernesto Ekaizer;https://www.elperiodico.cat/ca/politica/20231121/dolores-delgado-tribunal-suprem-memoria-historica-fiscal-del-suprem-ernesto-ekaizer-94925918;21/11/2023;«No hi ha termini que no arribi ni deute que no es pagui», diu el refrany. El termini per al primer dels dos recursos que estaven pendents contra el nomenament el 2022 deDolores Delgadocom afiscal togada militar, que suposava alhora el seu ascens a la categoria més alta de la carrera –fiscal de sala del Tribunal Suprem– ha arribat. Aquest dimarts, la secció quarta de la Sala Tercera (Contenciós Administratiu) delSupremha declarat nul·la aquesta designació, cosa que l’ha privat de la categoria de fiscal de sala. El segon recurs arribarà al desembre, quan la mateixa sala resoldrà tres recursos contra el seu nomenament com afiscal de Drets Humans i Memòria Democràtica, notíciaque va anticipar EL PERIÓDICOi que esva concretar el 13 de juny del 2023. Tres fiscals més eren aspirants juntament amb Dolores Delgado a aquest càrrec.
Cinc mesos de presó a un guàrdia civil que es va gastar en la ruleta 9.000 € intervinguts;https://www.elperiodico.cat/ca/successos/20231121/cinc-mesos-preso-agent-alicante-94894662;21/11/2023;Unguàrdia civil d’Alacantque havia de ser jutjat la setmana passada per unjurat popularcom a acusat d’undelicte de malversació de cabals públicsva evitar la vista oral amb un acord de conformitat i va acceptar ser condemnat a una pena decinc mesos de presói10 mesos d’inhabilitacióper haver-se gastat en un saló de jocs9.000 eurosque es vanintervenir en una operació antidroga el 2020. L’agent condemnat per l’Audiència després d’aquest acord teniaproblemes deludopatiaen el moment de passar els fets i després d’haver estat entractament ja ha rebut l’alta.
L’Edwin va acceptar una feina per a una mudança, però alguna cosa va sortir malament: va denunciar que el seu cap l’havia tancat i va desaparèixer;https://www.elperiodico.cat/ca/successos/20231121/edwin-colombia-professor-salsa-desaparegut-jaen-94888543;21/11/2023;«El 30 de març va sorgir el viatge», arrenca el Milton. És un dels set germans de l’Edwin. És, també, veu de la recerca des queva desaparèixer. «El meu nebot em va dir que un senyor, que ell coneixia, buscava gent per fer una mudança». L’Edwin estava buscant feina, van decidir que fos ell. «Al meu germà, que en aquell moment no tenia res fix, li anava bé».Era una cosa senzilla: anar-hi, fer la mudança i tornar.
El van matar i el van llançar a un pou perquè els va voler cobrar 25 euros de carrera en el seu taxi pirata;https://www.elperiodico.cat/ca/successos/20231117/van-matar-diakina-fofana-cobrar-25-euros-taxi-94740775;17/11/2023;Els dos individus que es troben a presó provisional per, presumptament, haver matat i llançat a un pou Diakina Fofana han admès que van acabar amb la seva vida durant unadiscussiómotivada perquèels va voler cobrar 25 euros, quan exercia de taxista sense papers,per portar-los de Iecla a Jumilla en el seu vehicle sense llicència, segons indiquen fonts pròximes a la investigació.
Els mossos investiguen una manada que va agredir sexualment un home al Masnou;https://www.elperiodico.cat/ca/societat/20231115/manada-agressio-sexual-home-masnou-94663570;15/11/2023;ElsMossos d’Esquadrainvestiguen unaagressió sexualdenunciada per un home alMasnou(Maresme). Els fets van passar diumenge a la matinada, segons informa l’agència ACN.
L’Audiència envia a judici Dani Alves acusat d’agressió sexual;https://www.elperiodico.cat/ca/societat/20231114/judici-audiencia-barcelona-dani-alves-violacio-agressio-sexual-94603619;14/11/2023;L’Audiència de Barcelonahaenviat a judicil’exfutbolista del FC BarcelonaDani Alvesper un delicte d’agressió sexual,acusat de violar una jove al reservat de la discoteca Sutton de Barcelona el 30 de desembre.
Mor un home després de ser apunyalat a la plaça de Pep Ventura de Badalona;https://www.elperiodico.cat/ca/badalona/20231114/mor-home-apunyalat-placa-pep-94592004;14/11/2023;Redactor i coordinador de l'equip d'informació de l'àrea metropolitana de Barcelona
Macrooperació policial, FBI inclòs, contra una màfia internacional que assaltava pisos a l’àrea de Barcelona;https://www.elperiodico.cat/ca/successos/20231114/macrooperacio-policial-mafia-internacional-lladres-fbi-mossos-barcelona-94591076;14/11/2023;ElsMossos d’Esquadra, en col·laboració amb laPolicia Nacional, la Interpol i l’FBI,ha iniciat aquest dimarts a la matinada unmacrooperatiu per desmantellar una organització internacional que estava especialitzada en robatoris amb força en domicilis i en el blanqueig de capitals.Segons han comunicat els Mossos a les xarxes socials, l’activitat de la banda tenia l’epicentre a l’àrea metropolitana de Barcelona.
L’amo va descobrir els assaltants, els va fotografiar, li van treure el mòbil i van tornar a tornar-l’hi perquè «no ens denunciïs»;https://www.elperiodico.cat/ca/successos/20231113/amo-va-descobrir-assaltants-les-va-fotografiar-94574794;13/11/2023;Encara estava amb l’ensurt al cos. S’havia enfrontat a tres assaltants al seu xalet i només li havien robat, finalment, el mòbil amb el qual els havia fotografiat. El que mai esperava és que minuts després tornessin a casa seva a tornar-l’hi perquè no els denunciés. Ha passat a la Torre del Pla (Alacant) i ho ha explicat la Comissaria d’Elx després de laidentificació i detenció dels implicats, un dels quals estava ingressat al centre penitenciari de Fontcalent per un altre fet delictiu.
Daniel Sancho es declara no culpable de l’assassinat premeditat d’Edwin Arrieta i assegura que va ser un accident;https://www.elperiodico.cat/ca/successos/20231113/daniel-sancho-edwin-arrieta-declara-tailandia-assassinat-94549012;13/11/2023;L’espanyolDaniel Sanchoes va declarar aquest dilluns no culpablede l’assassinat premeditat del cirurgià colombià Edwin Arrietaa Tailàndia, durant una vista al tribunal de l’illa de Samui, van informar a Efe fonts pròximes al cas.
L’assassí que tenia una nina sexual al llit;https://www.elperiodico.cat/ca/successos/20231113/assassi-xeres-irania-pou-nina-94548448;13/11/2023;Quan els policies dela UDEV Central i la Comissaria de Jerezde la Fronteravan anar a detenir aquell avi permatar, esquarterar i tirar a un pouuna dona, ja sabien que rere la innocent aparença de l’agricultor jubilat de 78 anys s’amagava un assassí reincident. Els agents que feiagairebé dos mesos que buscaven Buran Forouzan, una ciutadana iranianadesapareguda, havien furgat en el passat del Miguel, l’última persona que va estar amb ella. Havien descobert que, abans d’instal·lar-se a Jerez, el 2019, haviapassat 22 anys a la presóper intentar acabar dues vegades amb la vida de la seva exdona i per matar un immigrant a Almeria.
La Mariela, desapareguda a Lleida, sense notícies després del seu missatge de comiat a Facebook;https://www.elperiodico.cat/ca/successos/20231111/mariela-valle-desapareguda-lleida-facebook-94479920;11/11/2023;«Tranquil·la, qui diu que se suïcidarà després no ho fa, la teva mare pot ser a qualsevol lloc amb una nova identitat». És una de les frases que va sentir la Nadia quan va arrencar la investigació. N’arribarien més.Mariela del Valle Bertola, 46 anys.Va desaparèixerel 26 de maig del 2018 a Almacelles (Lleida). Aquell matí, l’última, va parlar amb la seva filla per telèfon. No estava bé. Diagnosticada dedepressiódes de feia deu anys, la perseguia un deute que no sabia com afrontar: «Nadia, no sé com sortir d’aquesta situació,no puc més».
Idèntic accident al de Xavi Moya a la mateixa cruïlla 8 dies abans: «Vull saber què em va passar»;https://www.elperiodico.cat/ca/barcelona/20231110/accident-identic-xavi-moya-carrer-arago-barcelona-pilo-goma-94418448;10/11/2023;Unaccident idèntic al de Xavi Moya, vuit dies abansal mateix punt de Barcelona, posa el focus enla sinistralitat d’un tramconcret del carrer d’Aragó, davant el número 424.Julia Caparrós, infermera de l’Hospital Sant Pau, circulava amb moto la nit del 29 de setembre quan va xocar contra un objecte clavat a la calçada. Just darrere seu un altre motorista, Massimo Tartarini, queia per la mateixa peça. Tots dos van acabar a l’hospital. Es tractaria del mateixpiló de goma solitarique va causar, suposadament, l’accident mortal del boxejadorel 7 d’octubre.
Alejo Vidal-Quadras, ferit després d’un tret a la cara en ple centre de Madrid;https://www.elperiodico.cat/ca/successos/20231109/disparen-alejo-vidal-quadras-madrid-94412124;09/11/2023;L’exlíder delPPde Catalunya i també fundador de Vox,Alejo Vidal-Quadras, de 78 anys,ha rebut un tret a la cara aquest dijous al migdiaa l’altura del número 40 del carrer de Núñez de Balboa, al barri madrileny de Salamanca, i està hospitalitzat fora de perill. Els investigadors manegen com a principal hipòtesi el crim per encàrrec i busquen una persona que ha fugit en una moto amb un casc negre, conduïda per una segona persona. Si bé encara no hi ha cap informe de la policia científica, fonts policials estimen que en el tret s’ha utilitzat munició de petit calibre.
Aturada de taxis aquest dimecres a la Gran Via de BCN pel taxista mort en una baralla de trànsit;https://www.elperiodico.cat/ca/barcelona/20231108/parada-taxis-gran-via-barcelona-taxista-mort-94306158;08/11/2023;El sector deltaxi pararàaquestdimecres des de les 10 fins a les 12 hores a Barcelona, amb una ocupació del tram central de la Gran Via, com a mostra de condemna i homenatge altaxista que va morir diumengedesprés d’una discussió de trànsit amb un motorista. L’ha convocat l’entitat Élite Taxi i també s’hi ha sumat el Sindicat del Taxi de Catalunya.
Tragèdia a Navarra: les autòpsies indiquen que l’home es va llançar al buit abraçant el seu fill;https://www.elperiodico.cat/ca/successos/20231107/tragedia-navarra-autopsies-indiquen-home-94334493;07/11/2023;Les conclusions preliminars de les autòpsies portades a terme aquest dimarts al’Institut Navarrès de Medicina Legal i Ciències Forensesalscossos de l’home i el nen trobats mortsa la Sierra d’Urbasa indiquen que el Txetxo Apestegui Fernández, de 54 anys, es va llançar al buit abraçant el seu fill Mateo, de 7.
El jurat declara l’exmarit de Lucía Garrido cooperador necessari de l’assassinat de la seva dona a Màlaga;https://www.elperiodico.cat/ca/successos/20231107/jurat-declara-exmarit-lucia-garrido-94326466;07/11/2023;Un jurat popular ha declarat aquest dimarts culpables l’exmarit deLucía Garrido, que va ser trobada sense vida a la piscina de la seva finca a Alhaurín de la Torre (Màlaga), i un altre acusat en relació ambel crim de la dona esdevingut el 2008.
Detingut un lladre molt reincident per atracar taxistes, hotels i fins i tot fingir ser policia;https://www.elperiodico.cat/ca/barcelona/20231107/detingut-lladre-reincident-atracar-taxistes-hotels-barcelona-94315034;07/11/2023;Els Mossos d’Esquadra han detingut unpresumpte lladre molt reincidentper diversosrobatoris amb violència, per exemplea quatre taxis i a dos hotelsde Ciutat Vella. Fins a dues vegadeses va fer passar per policiaper establir el primer contacte. Les víctimes sempre eren persones vulnerables per la seva complexió corporal o edat avançada, que no es podien defensar quan les atacava i a qui va lesionar en més d’una ocasió.
Vídeo | Un conductor arrossega un burro amb el seu cotxe per una carretera del Baix Llobregat;https://www.elperiodico.cat/ca/barcelona/20231107/video-conductor-arrossega-burro-cotxe-baix-llobregat-barcelona-94305545;07/11/2023;Agents dels Mossos i de la Policia Local de Corbera de Llobregat (Baix Llobregat, Barcelona) han denunciat un home de 63 anys per arrossegar un burro amb el seu cotxe. Aquest maltractament animal es va produir el 28 d’octubre a la tarda, quan la Policia Local de Corbera de Llobregatva ser alertada per diferents trucadesd’una persona que arrossegava un burro amb el seu vehicle per la BV-2421 al seu pas per aquest municipi. A l’arribar al lloc, els agents van localitzar un grup de persones quehavien aturat el vehicleque circulava amb l’animal.
Mor als 35 anys l’actor Evan Ellingson, el fill d’Horatio Caine a ‘CSI Miami’;https://www.elperiodico.cat/ca/successos/20231107/mor-evan-ellingson-actor-csi-miami-horatio-35-anus-94300659;07/11/2023;L’actor Evan Ellingson,recordat, entre d’altres, pel seu paper a la sèrie ‘CSI Miami’, va ser trobat sense vidaals 35 anysal seu dormitori a la ciutat de Fontana, que és a una hora a l’est del comtat de Los Angeles.
L’última carta de Daniel Sancho: «L’Edwin em va voler violar i em vaig defensar»;https://www.elperiodico.cat/ca/successos/20231107/daniel-sancho-ultima-carta-violacio-arrieta-94298583;07/11/2023;El 13 de novembre compareix davant del jutge
Violent robatori a Barcelona amb la tècnica del ‘matalleó’;https://www.elperiodico.cat/ca/barcelona/20231106/robatori-barcelona-matalleo-asfixia-dv-94265672;06/11/2023;La tècnica del‘matalleó’és una forma d’atac o agressióque consisteix a subjectar una persona des de l’esquena i aplicar-lipressió al collamb el braç, cosa que provoca unadisminució del flux sanguini al cervell, i això la porta fins i tot al desmai. Aquesta tàctica ésperillosa i comporta riscos evidentsper a la persona que l’experimenta.
El taxista mort a Barcelona s’havia canviat el torn amb la seva neboda;https://www.elperiodico.cat/ca/barcelona/20231106/taxista-mort-barcelona-canviat-torn-neboda-94264313;06/11/2023;Eltaxista que va morir aquest diumengedesprés de ser presumptament agredit dos dies abans per un motorista en «una discussió de trànsit» a Barcelona li vacanviar el torn a la seva neboda aquell dia, amb qui compartia el taxi, segons ha explicat el portaveu d’Élite Taxi, Tito Álvarez, als mitjans.
Detinguda per segona vegada l’exparella de la dona assassinada a Getafe perquè la seva coartada era falsa;https://www.elperiodico.cat/ca/successos/20231106/detenen-exparella-dona-assassinada-getafe-violencia-masclista-94259416;06/11/2023;La Policia Nacional ha detingut a Madridl’exparella de ladona de 39 anys assassinada a punyaladesdissabte a la localitat madrilenya deGetafe, després que en un primer momentquedés en llibertat al presentar una coartada.Aquest segon arrest s’ha produït després de comprovar-se quela coartada que havia facilitat era falsa, segons han confirmat a Europa Press fonts policials.
Detingut un home per apunyalar-ne un altre a l’ull al Raval;https://www.elperiodico.cat/ca/barcelona/20231105/apunyalat-home-raval-barcelona-halloween-94229773;05/11/2023;ElsMossos d’Esquadrahan detingut el presumpte autor d’unapunyalamentque va tenir lloc durant lanit de Halloween a Barcelona, al voltant de les quatre de la matinada al barri delRaval. L’agressió va deixar ferit un home d’uns 30 anys d’edat amb lesions d’arma blancaa l’ull i a la cama.
Incendi en una altra discoteca de Múrcia: la Policia desallotja centenars de persones a Atalayas;https://www.elperiodico.cat/ca/successos/20231105/incendi-discoteca-murcia-policia-94231658;05/11/2023;Unnouincendien una discoteca de la zona de Atalayas deMúrciafeia saltar totes les alarmes de matinada, quan encara és viu el record dela tragèdia, que va segar l’existència de tretze personesl’1 octubre. Aquesta vegada, el foc es va originar en un quadro elèctric del local Nocturno, que casualment està davant de la tristament coneguda Teatre.
Detingudes la mare i dues persones més per llençar a les escombraries a una nadó morta a Mallorca;https://www.elperiodico.cat/ca/successos/20231105/detingudes-mare-persones-llencar-escombraries-nado-mallorca-94231416;05/11/2023;La Policia Nacionalha detingut tres persones, inclosa la mare d’una nadó, per llençar a un contenidor d’escombraries la nounada, que va morir dijous passat a la localitat mallorquina de Porto Cristo.
Assassinada una dona agredida a punyalades en ple carrer a Getafe;https://www.elperiodico.cat/ca/successos/20231104/assassinada-dona-rebre-punyalades-ple-94209158;04/11/2023;Una dona de 39 anys ha perdut la vidaaquest dissabte després de rebrediverses ferides amb arma blancaen ple carrer al municipi madrileny deGetafe, segons ha confirmat Emergències 112 de la Comunitat de Madrid.
Ordenen l’ingrés a presó de Rafael Amargo per risc de fuga al no firmar al jutjat;https://www.elperiodico.cat/ca/successos/20231103/ordenen-ingres-preso-rafael-amarg-94168170;03/11/2023;L’Audiència de Madridha ordenat l’ingrés a presó del ‘bailaor’Rafael Amargoper risc de fuga i per trencament reiterat de l’obligació de firmar a l’òrgan judicial setmanalment, fins que se celebri el judici que té previst a l’abril acusat de vendre droga a casa seva.
Vídeo | Controlat l’incendi que ha afectat una zona d’horts i barraques de Montcada i Reixac;https://www.elperiodico.cat/ca/successos/20231103/incendi-zona-montcada-barraques-barraques-petons-94151720;03/11/2023;Els bombers han donat percontrolat l’incendique s’ha produït en una zona d’horts amb unassentament de barraques a la carretera BV-5001 de Montcada i Reixac(Barcelona, Vallès Occidental). Fruit de les flames ha sigut necessarievacuar una trentena de persones. Fonts del cos van indicar que s’està treballant per refredar el terreny cremat i estabilitzar el perímetre.
¿On és l’altre Usain Bolt? La increïble història del millor lladre de biblioteques d’Europa;https://www.elperiodico.cat/ca/successos/20231103/lladre-bioblioteques-europa-usain-bolt-94149484;03/11/2023;Els guàrdies civils que el van perseguir per tot Espanyal’anomenaven ‘Usain Bolt’perquè cada vegada que estaven a punt d’agafar-lo, se’ls escapava. Durant un any, els investigadors van fer lacaça del millor lladre de biblioteques d’Europa, un ciutadà hongarès que utilitzava diverses identitats falses i que ells van batejar amb el nom de l’home més ràpid de la història, l’atleta jamaicà campió olímpic d’atletisme i rècord mundial dels 100 metres llisos.
Mor un nadó després de llançar-lo a un contenidor d’escombraries a Mallorca;https://www.elperiodico.cat/ca/successos/20231102/mor-nado-llancarlo-contenidor-escombraries-94141550;02/11/2023;Un nadó ha mort la tarda d’aquest dijous després d’haver sigut llançat des d’un cotxe a un contenidor d’escombraries a Porto Cristo, aMallorca.El petit havia siguttraslladat amb caràcter urgent en un cotxe patrulla fins al’Hospitalde Manacor en un intent desesperat per salvar-li la vida.No ha pogut ser.Investigadors de la Policia Nacional de la Comissariade la capital de Llevant s’han fet càrrec del cas. La prioritat és identificar i detenir la persona que ha llançat el petit al dipòsit d’escombraries per un presumpte delicte d’homicidi.
Traslladat en helicòpter un menor després de rebre una pallissa en un institut d’Alhama de Granada;https://www.elperiodico.cat/ca/societat/20231102/traslladat-helicopter-menor-rebre-pallissa-94128156;02/11/2023;Un menor d’uns 15 anys ha hagut de ser traslladat aquest dijous en helicòpter després de rebre una pallissa en un institut d’Alhama de Granada (Granada) i, donada la gravetat de les lesions, es troba en aquests moments ingressat a la Unitat de Cures Intensives (uci) de l’Hospital de Traumatologia, segons han informat a Europa Press fonts sanitàries i del 112.
La policia rastrejarà les xarxes socials davant la sospita que gravessin la violació grupal de València;https://www.elperiodico.cat/ca/successos/20231102/policia-rastreges-xarxes-socials-sospita-violacio-grupal-valencia-94107787;02/11/2023;Agents del grup d’agressions sexualsde la unitat d’atenció a la família i la dona (UFAM) de laPolicia Nacionalja han començat arastrejar lesxarxes socialsa la recerca de possibles imatges de laviolació grupal a una noia de 18 anys al costat d’una discoteca del valencià barri de la Malva-rosa, de la qual‘Levante-EMV’,del grup Prensa Ibérica, va informar en exclusiva aquest dimecres. Segons fonts de tota solvència consultades per aquest diari, ha sigut la mateixa víctima la que ha posat en alerta la policia a l’advertir-los querecordava haver vist llums «com de flaix d’un mòbil»mentre patial’agressió grupal.
Un ferit per mossegada de gos acaba detingut a Barcelona per portar nou pots d’èxtasi líquid;https://www.elperiodico.cat/ca/eixample/20231101/ferida-mossegada-gos-acaba-detingut-94079360;01/11/2023;LaGuàrdia Urbana de Barcelonaha comunicat aquest1 de novembreal matí la detenció d’un home al districte del’Eixample de Barcelonaa l’haver sigut localitzat després de resultar ferit per lamossegada d’un gos.
Investigada la violació grupal a una jove en un descampat al costat d’una discoteca de València;https://www.elperiodico.cat/ca/successos/20231101/investiguen-violacio-grupal-jove-descampat-94077169;01/11/2023;Un jutjat de València està investigant laviolaciógrupaldenunciada elcap de setmana per una noia de 18 anys, en la qual haurien participatentre tres i cinc homes jovesi que es va produir sobre dos quarts de sis de lamatinada de dissabte al valencià barri de la Malva-rosa, en undescampatubicatdavant una caserna de la Guàrdia Civil i al costat d’una discoteca, local del qual procedien tots els implicats.
Un ferit en una explosió de gas en una vivenda de Tortosa;https://www.elperiodico.cat/ca/successos/20231031/tortosa-explosio-gas-94067851;31/10/2023;Unaexplosióde gasha causat ferides a una persona alcarrer del Carme de Tortosa(Baix Ebre, Tarragona), segons informacions del ‘Diari de Tarragona’. En principi, la persona tindria ferides a les extremitats, tot i que es desconeix la gravetat d’aquestes ferides.
Suspès el judici per lesions que tenia Daniel Sancho a Madrid;https://www.elperiodico.cat/ca/successos/20231031/suspes-judici-lesions-daniel-sancho-madrid-94052784;31/10/2023;ElJutjat Penal número 16de Madrid ha suspès el judici quetenia previst celebrar el pròxim 7 de novembrecontraDaniel Sanchoper la presumpta comissió d’undelicte de lesionscomès el 2019 a la capital, han informat fonts jurídiques.
Agredida sexualment pel seu cap després de 19 mesos sense fer ni un sol dia de festa;https://www.elperiodico.cat/ca/successos/20231030/agredida-sexualment-cap-19-mesos-93994315;30/10/2023;Va estar19 mesos sense fer ni un sol dia de festai va acabar sentagredida sexualment per un dels seus caps. L’amenaçaven de manera constant dient-li que, si parlava, mai podria regularitzar la seva situació a Espanya i, a més, no li pagarien.Va aconseguir escapar i denunciar la seva situació. La Policia Nacional va procedir al’arrest de quatre persones, dos homes i dues dones, tot i que ja estan en llibertat amb càrrecs, després de passar pel Jutjat de Guàrdia. Tant la víctima com els sospitosos són d’origen xinès, segons indica la Policia en un comunicat de premsa.
Els Mossos avisen de l’estafa de l’advocat;https://www.elperiodico.cat/ca/vida-i-estil/20231030/mossos-avisen-estafa-advocat-dv-75110824;30/10/2023;La del fals CEO, ladel SEPE...Diàriament veiem com les autoritats adverteixen de diferents tipus d’estafesque els estafadors utilitzen per robardinersals ciutadans. Ara, elsMossos d’Esquadraadverteixen d’una altra que té molt mala rima: la delfals advocat.
Una baralla entre veïns i policia a Mollerussa acaba amb sis mossos ferits;https://www.elperiodico.cat/ca/successos/20231030/baralla-veins-policia-mossos-ferits-mollerussa-lleida-93986326;30/10/2023;Els Mossos han detingut quatre persones isis agents han resultat feritsdesprés d’un enfrontament entre la policia i una vintena de veïns de Mollerussa (Lleida). Segons va avançar ‘El Segre’ i van confirmar a l’ACN fonts policials, els fets van tenir lloc a les 18.45 hores en el grup Jaume d’Urgell, concretament entre els carrers de Pau Claris, Llorenç Vilaró i Camí d’Arbeca.
L’assassí va tornar al lloc del crim... i es va menjar un arròs amb llamàntol;https://www.elperiodico.cat/ca/successos/20231027/assassi-manzanares-tornar-lloc-crim-menjar-arros-llamantol-92807223;27/10/2023;La gravació el mostra dempeus, al costat d’un micròfon i davant del jutge. Uncambrerde Manzanares (Ciudad Real) declara sota jurament. Ha sigut amic i ha fet negocis ambAntonio Caba, que és a la presó acusat de matar i fer desaparèixer dos empresaris el 2019 i 2022.
El Pepe, el jubilat català que ha desaparegut en una excursió a Lourdes, va trucar per demanar ajuda: «m’he perdut»;https://www.elperiodico.cat/ca/successos/20231027/jubilat-catala-desaparegut-excursio-lourdes-91711577;27/10/2023;«M’he perdut, no sé com arribar...», va alertar en la seva primera trucada. Després d’aquesta, n’arribarien moltes més. «Veig un pont de ferro, unes vaques...No, gent no hi ha, no puc preguntar. Només passa algun ciclista... Bé, a veure si veig algú, intento arribar». No va poder, no en va saber. No va tornar. Des del 15 de juliol el Pepe no hi és.
Un conductor atropella cinc ciclistes a Madrid;https://www.elperiodico.cat/ca/successos/20231027/conductor-atropella-cinc-ciclistes-madrid-93871774;27/10/2023;El conductor d’un cotxeha atropellat cinc personesque participaven en una marxa ciclista al districte madrileny de Chamberí i posteriorment s’ha entregat en una comissaria i és investigat per undelicte contra la seguretat viària.
Assassinen a trets la ‘narco tiktoker’ Sabrina Durán en ple carrer;https://www.elperiodico.cat/ca/gent/20231025/assassinen-narco-tiktoker-sabrina-duran-trets-dv-93789225;25/10/2023;La popular ‘influencer’ a TikTok i narcotraficant Sabrina Durán, de 24 anys, va ser assassinada a trets en ple carrer a Santiago de Xile, segons van informar mitjans locals.
Apareix un cos en un pou de Múrcia;https://www.elperiodico.cat/ca/successos/20231025/apareix-cos-pou-murcia-93790253;25/10/2023;Efectius de laGuàrdia Civilhan tret a primera hora d’aquest dimecresun cos d’un pousituat aJumilla(Múrcia). Fins al lloc s’han desplaçat agents delGrup d’Especialistes en Activitats Subaquàtiques(GEAS) per procedir al rescat del cadàver, així com el grup de Muntanya de la Benemèrita.
La família de la Cristina, desapareguda fa deu anys, descobreix que algú cobra una subvenció en nom seu;https://www.elperiodico.cat/ca/successos/20231025/cristina-desapareguda-subvencio-gandia-92694938;25/10/2023;Sense rastre des del 4 de novembre del 2013
